"","OPB_CO","OPB_FS","OPB_SS"
"Null",2415.15655395311,193.652597075487,403.77564147985
"Tx Effect: OR 0.8",20.8421595315558,4.21254220140572,5.08741736551109
"Tx Effect 0.5",6.6336252662243,12.5523132171821,5.10330211346967
"Tx Effect 0.8 + Interactions",15.628204285437,22.1454463961478,7.74751286385867
"Tx Effect 0.5 + Interactions",5.49404745315825,16.5058598579905,5.93353154712682
