"","OAB_CO","OAB_FS","OAB_SS"
"Null",0.00851171648976471,0.000963588807691504,0.0013968094654666
"Tx Effect: OR 0.8",0.00757684473133152,0.00143075837653102,0.0020916798153155
"Tx Effect 0.5",0.00656658735229659,0.0119797033638336,0.00549547281326992
"Tx Effect 0.8 + Interactions",0.00587043556340538,0.00919788216842204,0.00371063001639048
"Tx Effect 0.5 + Interactions",0.00541115134107845,0.0155603025974134,0.00665500000358862
